Time,Pontos,Jogos,Vitórias,Empates,Derrotas,Gols pró,Gols contra,Saldo de gols,Aproveitamento
Liverpool,70,29,21,7,1,69,27,42,80
Arsenal,58,29,16,10,3,53,24,29,66
Nottingham Forest,54,29,16,6,7,49,35,14,62
Chelsea,49,29,14,7,8,53,37,16,56
Manchester City,48,29,14,6,9,55,40,15,55
Newcastle,47,28,14,5,9,47,38,9,55
Brighton,47,29,12,11,6,48,42,6,54
Fulham,45,29,12,9,8,43,38,5,51
Aston Villa,45,29,12,9,8,41,45,-4,51
Bournemouth,44,29,12,8,9,48,36,12,50
Brentford,41,29,12,5,12,50,45,5,47
Crystal Palace,39,28,10,9,9,36,33,3,46
Manchester United,37,29,10,7,12,37,40,-3,42
Tottenham,34,29,10,4,15,55,43,12,39
Everton,34,29,7,13,9,32,36,-4,39
West Ham,34,29,9,7,13,33,49,-16,39
Wolverhampton,26,29,7,5,17,40,58,-18,29
Ipswich,17,29,3,8,18,28,62,-34,19
Leicester,17,29,4,5,20,25,65,-40,19
Southampton,9,29,2,3,24,21,70,-49,10
